id,publication_id,publication_key,publication_type,type,publication_role,status,artifact_availability,title,date,version,doi,website_url,canonical_url,short_url,route_status,pdf,bytes,sha256,sha512,ots_status
c001-standing-in-the-inquiry-of-being,c001,charter_essays.standing_in_the_inquiry_of_being,Charter Essay,charter_essay,orientation,released,local_pdf,Standing in the Inquiry of Being,2026-05-08,canonical v1.0,,https://panta-rhei.site/program/about/standing-in-the-inquiry-of-being/,https://panta-rhei.site/program/about/standing-in-the-inquiry-of-being/,https://prrp.site/c001,active,c001-standing-in-the-inquiry-of-being.pdf,327217,0f547c4a586ba92e58346d55a7b18945c577c1303a152530ace52db0a1320408,d3aef6dd9bf0ef5e26d53b4e736505311ff117d2e7222293b75942f3ec3fb74dc55b5035a013cf7c17c98682ec4ad5c129778e957464b381aa24359163beb00e,missing
gt001-guided-tour-book-i,gt001,guided_tours.book_i,Guided Tour,guided_tour,verification,released,local_pdf,Book I Guided Tour,2026-04-15,v1.0,,https://panta-rhei.site/publications/guided-tours/,https://panta-rhei.site/publications/guided-tours/,https://prrp.site/gt001,reserved,guided-tour-book-I.pdf,441645,72a145aeaed5f5390b180119393d85ae9f0fb396bdb210e4355fac4901bbb5f3,46a3d02457be06a98786edc8c9203b422119c3ed26986eb14735a4fcce2f43c9f9054562be6cce41a1cab81dc367d9c7d7e3ceffbf71ad0a8cd0a9ef3904871a,missing
gt002-guided-tour-book-ii,gt002,guided_tours.book_ii,Guided Tour,guided_tour,verification,released,local_pdf,Book II Guided Tour,2026-04-15,v1.0,,https://panta-rhei.site/publications/guided-tours/,https://panta-rhei.site/publications/guided-tours/,https://prrp.site/gt002,reserved,guided-tour-book-II.pdf,471244,efa7333f0cea7940cfcade7f65fe7a1dd7cee0a5aa1f3a5a095a26bece40a0f7,c74ce857a57bbb019a4eb34acaa409ff82260d12639fa8790f1162fc96011e96817014d52852c731f92483f1326bf9f678b4ba2ffa02202b100dc359bd1b8f34,missing
gt003-guided-tour-book-iii,gt003,guided_tours.book_iii,Guided Tour,guided_tour,verification,released,local_pdf,Book III Guided Tour,2026-04-15,v1.0,,https://panta-rhei.site/publications/guided-tours/,https://panta-rhei.site/publications/guided-tours/,https://prrp.site/gt003,reserved,guided-tour-book-III.pdf,467609,2ea68610c013abb1926fd5027a2fdfa12d0baeb566180621a10b7f032b3c7e4f,713a08061992ef7622ba0844e5a67329e0c567046eb5f71a2cf1f69e79f91a04f481205596bd02c71155e06ab611450d6a21d5b14d9dc9a4b04314dad526e180,missing
gt004-guided-tour-book-iv,gt004,guided_tours.book_iv,Guided Tour,guided_tour,verification,released,local_pdf,Book IV Guided Tour,2026-04-15,v1.0,,https://panta-rhei.site/publications/guided-tours/,https://panta-rhei.site/publications/guided-tours/,https://prrp.site/gt004,reserved,guided-tour-book-IV.pdf,487368,5a502fa90175bba8423d44364c81c5bab0fab89cbb24c9fb9e8352e7d461d8c8,94d6a7cd9b6370615f8c3399eaddefa2638db2f580f962c124194b9b7546fd32e8708018f514f9eb50d5940d833e7aee3496b5973fe4ca81d6c20d3bfcb97bb7,missing
gt005-guided-tour-book-v,gt005,guided_tours.book_v,Guided Tour,guided_tour,verification,released,local_pdf,Book V Guided Tour,2026-04-15,v1.0,,https://panta-rhei.site/publications/guided-tours/,https://panta-rhei.site/publications/guided-tours/,https://prrp.site/gt005,reserved,guided-tour-book-V.pdf,493486,17b5c32417bcc88a5158030d19f967b92de465597a997220b3098489fa315dcf,b479d4b9e0b898b048a208f7a486a5e41e18902746d8f66635c496e90a680b815c0a648524e01291079ea043541183d1d20cef4680b08404897e328bba8857a1,missing
gt006-guided-tour-book-vi,gt006,guided_tours.book_vi,Guided Tour,guided_tour,verification,released,local_pdf,Book VI Guided Tour,2026-04-15,v1.0,,https://panta-rhei.site/publications/guided-tours/,https://panta-rhei.site/publications/guided-tours/,https://prrp.site/gt006,reserved,guided-tour-book-VI.pdf,451824,72158fcb8671058d47089a876e22770a4d4301327a58450ac1b02fe810867474,cf486aa5b540de17d63ba74e0744a15fb9ba5525939bd4e2e99ae1f179c8a654c7e6390574959c65e7d3a5030c5ba3236a2573572576d1215ad4d8fc3f40eae1,missing
gt007-guided-tour-book-vii,gt007,guided_tours.book_vii,Guided Tour,guided_tour,verification,released,local_pdf,Book VII Guided Tour,2026-04-15,v1.0,,https://panta-rhei.site/publications/guided-tours/,https://panta-rhei.site/publications/guided-tours/,https://prrp.site/gt007,reserved,guided-tour-book-VII.pdf,474866,0314dd107daaf8fd86ce80fecf25c2e75e2b54473ca21bb994eba38830887798,6ea224cd5b542451b5c17ef24becad897fb2e50b737a116fa92d4ab7d5108c229940132bff72efab86c75b2fd4b3efea783ca79d02216acec1e7061c617e2520,missing
ms001-numerical-physics-ledger,ms001,monograph_supplements.numerical_physics_ledger,Monograph Supplement,monograph_supplement,technical,released,local_pdf,The Numerical Physics Ledger,2026-04-30,Second Edition,,https://panta-rhei.site/publications/monograph-supplements/numerical-physics-ledger/,https://panta-rhei.site/publications/monograph-supplements/numerical-physics-ledger/,https://prrp.site/ms001,reserved,physics-ledger.pdf,1106876,ccea2506f21770103ca98244664eaedfde992088206c7902c7d41a4299b0559e,3011882896f2372b32a9cbe8aba1a78a95ef7b1d3c883c9480c608fe065aec48877bc84044f4d6e6fe136a1a2af8eb430d9ca997d616df8c422709f24785b471,missing
ms002-categorical-genesis,ms002,monograph_supplements.categorical_genesis,Monograph Supplement,monograph_supplement,orientation,released,local_pdf,Categorical Genesis,2026-04-30,Second Edition,,https://panta-rhei.site/publications/monograph-supplements/categorical-genesis/,https://panta-rhei.site/publications/monograph-supplements/categorical-genesis/,https://prrp.site/ms002,reserved,categorical-genesis.pdf,357161,772b66729624583097fc4c7797134ed50374db3a9782bf7eccc11326b9fa58d7,0a46d784e6ecae2100d2f99ab94c57cb9f32ac5fdfa90e188acc1ff8a08eac2817df9e3da4bbab3af5165cb6187b3100cc6e5f92f7341491804e8614dfadd8cf,missing
